Name: Taxa SELIC
Data Provider: Banco Central do Brasil ( Brazil Central Bank )
Url: www3.bcb.gov.br/selic/consulta/taxaSelic.do?method=listarTaxaDiaria
Description: Brazilian Daily Interest Rate Since 1/7/2000
time,rate,factor,VNA
2012-03-16,9.6500000000000004,1.0003656400000001,5126.4808115596079
2012-03-19,9.6500000000000004,1.0003656400000001,5128.3552580035466
2012-03-20,9.6500000000000004,1.0003656400000001,5130.2303898200826
2012-03-21,9.6500000000000004,1.0003656400000001,5132.106207259817
2012-03-22,9.6500000000000004,1.0003656400000001,5133.9827105734394
2012-03-23,9.6500000000000004,1.0003656400000001,5135.8599000117347
2012-03-26,9.6500000000000004,1.0003656400000001,5137.7377758255752
2012-03-27,9.6500000000000004,1.0003656400000001,5139.6163382659288
2012-03-28,9.6500000000000004,1.0003656400000001,5141.4955875838523
2012-03-29,9.6500000000000004,1.0003656400000001,5143.3755240304972
2012-03-30,9.6500000000000004,1.0003656400000001,5145.2561478571042
2012-04-02,9.6500000000000004,1.0003656400000001,5147.1374593150076
2012-04-03,9.6500000000000004,1.0003656400000001,5149.0194586556318
2012-04-04,9.6500000000000004,1.0003656400000001,5150.9021461304947
2012-04-05,9.6500000000000004,1.0003656400000001,5152.7855219912062
2012-04-09,9.6500000000000004,1.0003656400000001,5154.6695864894682
2012-04-10,9.6500000000000004,1.0003656400000001,5156.5543398770724
2012-04-11,9.6500000000000004,1.0003656400000001,5158.4397824059051
2012-04-12,9.6500000000000004,1.0003656400000001,5160.3259143279447
2012-04-13,9.6500000000000004,1.0003656400000001,5162.2127358952594
2012-04-16,9.6500000000000004,1.0003656400000001,5164.1002473600129
2012-04-17,9.6500000000000004,1.0003656400000001,5165.9884489744582
2012-04-18,9.6500000000000004,1.0003656400000001,5167.8773409909409
2012-04-19,8.9000000000000004,1.00033839,5169.7669236619013
2012-04-20,8.9000000000000004,1.00033839,5171.5163210911996
2012-04-23,8.9000000000000004,1.00033839,5173.2663104990943
2012-04-24,8.9000000000000004,1.00033839,5175.0168920859041
2012-04-25,8.9000000000000004,1.00033839,5176.7680660520173
2012-04-26,8.9000000000000004,1.00033839,5178.519832597889
2012-04-27,8.9000000000000004,1.00033839,5180.2721919240412
2012-04-30,8.9000000000000004,1.00033839,5182.0251442310664
2012-05-02,8.9000000000000004,1.00033839,5183.7786897196229
2012-05-03,8.9000000000000004,1.00033839,5185.532828590437
2012-05-04,8.9000000000000004,1.00033839,5187.2875610443043
2012-05-07,8.9000000000000004,1.00033839,5189.0428872820858
2012-05-08,8.9000000000000004,1.00033839,5190.7988075047133
2012-05-09,8.9000000000000004,1.00033839,5192.5553219131843
2012-05-10,8.9000000000000004,1.00033839,5194.3124307085664
2012-05-11,8.9000000000000004,1.00033839,5196.0701340919941
2012-05-14,8.8900000000000006,1.00033803,5197.8284322646696
2012-05-15,8.8900000000000006,1.00033803,5199.5854542096276
2012-05-16,8.8900000000000006,1.00033803,5201.3430700807139
2012-05-17,8.8900000000000006,1.00033803,5203.1012800786939
2012-05-18,8.8900000000000006,1.00033803,5204.8600844043995
2012-05-21,8.8900000000000006,1.00033803,5206.6194832587298
2012-05-22,8.8900000000000006,1.00033803,5208.379476842656
2012-05-23,8.8900000000000006,1.00033803,5210.1400653572127
2012-05-24,8.8900000000000006,1.00033803,5211.9012490035057
2012-05-25,8.8900000000000006,1.00033803,5213.6630279827059
2012-05-28,8.8900000000000006,1.00033803,5215.4254024960546
2012-05-29,8.8900000000000006,1.00033803,5217.1883727448612
2012-05-30,8.8800000000000008,1.00033766,5218.9519389305005
2012-05-31,8.3900000000000006,1.00031976,5220.7141702421986
2012-06-01,8.3900000000000006,1.00031976,5222.3835458052754
2012-06-04,8.3900000000000006,1.00031976,5224.0534551678829
2012-06-05,8.3900000000000006,1.00031976,5225.723898500707
2012-06-06,8.3900000000000006,1.00031976,5227.3948759744917
2012-06-08,8.3900000000000006,1.00031976,5229.0663877600336
2012-06-11,8.3900000000000006,1.00031976,5230.7384340281833
2012-06-12,8.3900000000000006,1.00031976,5232.4110149498483
2012-06-13,8.3900000000000006,1.00031976,5234.0841306959883
2012-06-14,8.3900000000000006,1.00031976,5235.75778143762
2012-06-15,8.3900000000000006,1.00031976,5237.4319673458122
2012-06-18,8.3900000000000006,1.00031976,5239.1066885916907
2012-06-19,8.3900000000000006,1.00031976,5240.7819453464354
2012-06-20,8.3900000000000006,1.00031976,5242.4577377812784
2012-06-21,8.3900000000000006,1.00031976,5244.1340660675114
2012-06-22,8.3900000000000006,1.00031976,5245.8109303764768
2012-06-25,8.3900000000000006,1.00031976,5247.4883308795743
2012-06-26,8.3900000000000006,1.00031976,5249.1662677482564
2012-06-27,8.3900000000000006,1.00031976,5250.844741154031
2012-06-28,8.3900000000000006,1.00031976,5252.5237512684625
2012-06-29,8.4000000000000004,1.00032012,5254.2032982631681
2012-07-02,8.3900000000000006,1.00031976,5255.8852738230089
2012-07-03,8.3900000000000006,1.00031976,5257.565895698167
2012-07-04,8.3900000000000006,1.00031976,5259.2470549689751
2012-07-05,8.3900000000000006,1.00031976,5260.9287518072724
2012-07-06,8.3900000000000006,1.00031976,5262.6109863849506
2012-07-09,8.3900000000000006,1.00031976,5264.2937588739569
2012-07-10,8.3900000000000006,1.00031976,5265.9770694462941
2012-07-11,8.3900000000000006,1.00031976,5267.6609182740203
2012-07-12,7.8899999999999997,1.0003013999999999,5269.3453055292475
2012-07-13,7.8899999999999997,1.0003013999999999,5270.9334862043343
2012-07-16,7.8899999999999997,1.0003013999999999,5272.5221455570754
2012-07-17,7.8899999999999997,1.0003013999999999,5274.1112837317451
2012-07-18,7.8899999999999997,1.0003013999999999,5275.7009008726618
2012-07-19,7.8899999999999997,1.0003013999999999,5277.2909971241843
2012-07-20,7.8899999999999997,1.0003013999999999,5278.8815726307166
2012-07-23,7.8899999999999997,1.0003013999999999,5280.4726275367066
2012-07-24,7.8899999999999997,1.0003013999999999,5282.0641619866456
2012-07-25,7.8899999999999997,1.0003013999999999,5283.6561761250678
2012-07-26,7.8899999999999997,1.0003013999999999,5285.2486700965519
2012-07-27,7.8899999999999997,1.0003013999999999,5286.8416440457177
2012-07-30,7.8899999999999997,1.0003013999999999,5288.4350981172329
2012-07-31,7.8899999999999997,1.0003013999999999,5290.0290324558046
2012-08-01,7.8899999999999997,1.0003013999999999,5291.623447206186
2012-08-02,7.8899999999999997,1.0003013999999999,5293.2183425131734
2012-08-03,7.8899999999999997,1.0003013999999999,5294.8137185216074
2012-08-06,7.8899999999999997,1.0003013999999999,5296.4095753763695
2012-08-07,7.8899999999999997,1.0003013999999999,5298.0059132223878
2012-08-08,7.8899999999999997,1.0003013999999999,5299.602732204632
2012-08-09,7.8899999999999997,1.0003013999999999,5301.2000324681185
2012-08-10,7.8899999999999997,1.0003013999999999,5302.7978141579033
2012-08-13,7.8899999999999997,1.0003013999999999,5304.39607741909
