Name: usd2brl
Data Provider: www.debit.com.br
Url: www.debit.com.br/consulta20.php?indexador=12&imes=01&iano=2000&fmes=12&fano=2014
Description: Dollar to BRL exchange Rate
time,rate
2001-06-20,2.4670000000000001
2001-06-21,2.3769999999999998
2001-06-22,2.3079999999999998
2001-06-23,2.298
2001-06-24,2.298
2001-06-25,2.298
2001-06-26,2.3250000000000002
2001-06-27,2.302
2001-06-28,2.298
2001-06-29,2.298
2001-06-30,2.298
2001-07-01,2.298
2001-07-01,2.298
2001-07-02,2.3300000000000001
2001-07-03,2.3500000000000001
2001-07-04,2.4180000000000001
2001-07-05,2.4649999999999999
2001-07-06,2.4300000000000002
2001-07-07,2.4300000000000002
2001-07-08,2.4300000000000002
2001-07-09,2.4449999999999998
2001-07-10,2.4900000000000002
2001-07-11,2.4980000000000002
2001-07-12,2.548
2001-07-13,2.585
2001-07-14,2.585
2001-07-15,2.585
2001-07-16,2.5800000000000001
2001-07-17,2.496
2001-07-18,2.4980000000000002
2001-07-19,2.5070000000000001
2001-07-20,2.4500000000000002
2001-07-21,2.4500000000000002
2001-07-22,2.4500000000000002
2001-07-23,2.4129999999999998
2001-07-24,2.4689999999999999
2001-07-25,2.4849999999999999
2001-07-26,2.4750000000000001
2001-07-27,2.4550000000000001
2001-07-28,2.4550000000000001
2001-07-29,2.4550000000000001
2001-07-30,2.4100000000000001
2001-07-31,2.468
2001-08-01,2.492
2001-08-02,2.4910000000000001
2001-08-03,2.5
2001-08-04,2.5
2001-08-04,2.5
2001-08-05,2.5
2001-08-06,2.4590000000000001
2001-08-07,2.484
2001-08-08,2.4649999999999999
2001-08-09,2.4649999999999999
2001-08-10,2.4620000000000002
2001-08-11,2.4620000000000002
2001-08-12,2.4620000000000002
2001-08-13,2.4969999999999999
2001-08-14,2.5139999999999998
2001-08-15,2.4900000000000002
2001-08-16,2.5
2001-08-17,2.5169999999999999
2001-08-18,2.5169999999999999
2001-08-19,2.5169999999999999
2001-08-20,2.5169999999999999
2001-08-21,2.548
2001-08-22,2.52
2001-08-23,2.528
2001-08-24,2.5459999999999998
2001-08-25,2.5459999999999998
2001-08-26,2.5459999999999998
2001-08-27,2.5579999999999998
2001-08-28,2.5569999999999999
2001-08-29,2.544
2001-08-30,2.5299999999999998
2001-08-31,2.5630000000000002
2001-09-01,2.5630000000000002
2001-09-02,2.5630000000000002
2001-09-03,2.5640000000000001
2001-09-04,2.5550000000000002
2001-09-05,2.5760000000000001
2001-09-06,2.5819999999999999
2001-09-07,2.5819999999999999
2001-09-07,2.5819999999999999
2001-09-08,2.5819999999999999
2001-09-09,2.5819999999999999
2001-09-10,2.605
2001-09-11,2.6549999999999998
2001-09-12,2.6880000000000002
2001-09-13,2.6549999999999998
2001-09-14,2.673
2001-09-15,2.673
2001-09-16,2.673
2001-09-17,2.6659999999999999
2001-09-18,2.6930000000000001
2001-09-19,2.7080000000000002
2001-09-20,2.758
2001-09-21,2.8300000000000001
2001-09-22,2.8300000000000001
2001-09-23,2.8300000000000001
2001-09-24,2.7149999999999999
2001-09-25,2.7120000000000002
2001-09-26,2.7360000000000002
2001-09-27,2.673
2001-09-28,2.6680000000000001
2001-09-29,2.6680000000000001
2001-09-30,2.6680000000000001
2001-10-01,2.677
2001-10-02,2.7050000000000001
2001-10-03,2.7200000000000002
2001-10-04,2.7349999999999999
2001-10-05,2.7759999999999998
2001-10-06,2.7759999999999998
2001-10-07,2.7759999999999998
2001-10-08,2.7690000000000001
2001-10-09,2.7799999999999998
2001-10-10,2.77
2001-10-11,2.7799999999999998
2001-10-11,2.7799999999999998
2001-10-12,2.7799999999999998
2001-10-13,2.7799999999999998
2001-10-14,2.7799999999999998
2001-10-15,2.7709999999999999
2001-10-16,2.71
2001-10-17,2.7210000000000001
2001-10-18,2.758
2001-10-19,2.7330000000000001
2001-10-20,2.7330000000000001
2001-10-21,2.7330000000000001
2001-10-22,2.7210000000000001
2001-10-23,2.7280000000000002
2001-10-24,2.7589999999999999
2001-10-25,2.7130000000000001
2001-10-26,2.7250000000000001
2001-10-27,2.7250000000000001
2001-10-28,2.7250000000000001
2001-10-29,2.722
2001-10-30,2.7210000000000001
2001-10-31,2.6970000000000001
2001-11-01,2.6699999999999999
2001-11-02,2.6699999999999999
2001-11-03,2.6699999999999999
2001-11-04,2.6699999999999999
2001-11-05,2.5979999999999999
2001-11-06,2.6080000000000001
2001-11-07,2.5600000000000001
2001-11-08,2.5299999999999998
2001-11-09,2.5369999999999999
2001-11-10,2.5369999999999999
2001-11-11,2.5369999999999999
2001-11-12,2.5499999999999998
2001-11-13,2.52
2001-11-14,2.5430000000000001
2001-11-14,2.5430000000000001
2001-11-15,2.5430000000000001
2001-11-16,2.5259999999999998
2001-11-17,2.5259999999999998
2001-11-18,2.5259999999999998
